activity,next_activity,frequency,mean_duration_min,max_duration_min
startProcessingRegion2,finishedProcessingRegion2,150458,3.7153573105783675,7.544101666666666
pickedUpRegion3,droppedOffRegion3,151385,0.27722079119463616,0.625
pickedUpRegion1,droppedOffRegion2,151435,0.19849440353947237,0.5
assignedToVehicleRegion3,pickedUpRegion3,151452,0.07073154019095158,0.625
assignedToVehicleRegion1,pickedUpRegion1,151488,0.023048235536808195,0.5
productCallsForTransportRegion3,assignedToVehicleRegion3,151456,0.010303836185646877,1.474695
productCallsForTransportRegion1,assignedToVehicleRegion1,151492,0.0026093215703359473,0.8556066666666666
arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
droppedOffRegion2,startProcessingRegion2,151490,0.0,0.0
finishedProcessingRegion2,productCallsForTransportRegion3,151461,0.0,0.0
