experiment,runs,number_of_cases,average_cases_per_run,number_of_events,average_events_per_run,number_of_activities,number_of_variants,average_case_duration_min,longest_case_duration_min,average_final_quality,minimum_final_quality
1,20,152766,7638.3,1666342,83317.1,11,15,4.555993869774688,22.35563,86.50534681520848,24.7598815478
2,20,152747,7637.35,1666310,83315.5,12,16,4.498529299844406,23.545144999999998,88.03601322466757,14.7653213538
3,20,152726,7636.3,1666314,83315.7,11,15,4.419349247050273,19.519473333333334,88.5562911530959,24.70543642
4,20,153730,7686.5,1650906,82545.3,12,16,14.111399942550793,184.23354,75.72889087047922,0.0017299747
5,20,153181,7659.05,1660759,83037.95,12,16,8.67411437848036,105.13491333333333,78.20526077826587,0.1857013547
6,20,152796,7639.8,1648588,82429.4,12,20,4.586650141386772,102.82910833333334,87.92640140117608,0.1520408976
7,20,152876,7643.8,1660466,83023.3,12,19,4.870321066452549,336.916235,87.48975412314704,0.0
8,20,153147,7657.35,1661290,83064.5,12,16,8.351278224320424,86.221745,76.8084328216139,0.606866305
9,20,152926,7646.3,1659510,82975.5,12,18,5.035726554956864,328.5428333333333,85.42700834917518,0.0
10,20,152752,7637.6,1666336,83316.8,11,13,4.475323981486331,8.936544999999999,86.31071316255029,51.7105162473
11,20,152685,7634.25,1666346,83317.3,11,14,4.275848196264642,8.807261666666667,89.51561508184386,50.8063053724
12,20,152689,7634.45,1666299,83314.95,11,15,4.238623169951121,8.237843333333334,89.89329658011613,53.5240653558
13,20,152694,7634.7,1666254,83312.7,11,15,4.281720491582293,9.705621666666667,89.50594550454598,51.5834317436
14,20,152678,7633.9,1666266,83313.3,11,15,4.239977166203819,8.65157,89.88002972360412,51.8739818271
15,20,152678,7633.9,1666259,83312.95,11,14,4.281317288760222,16.985075000000002,89.5068746226581,20.7469542163
16,20,152686,7634.3,1666309,83315.45,11,13,4.239292666223492,11.039449999999999,89.89243637917087,41.0763594636
17,20,152754,7637.7,1666361,83318.05,11,14,4.477889474874635,8.81648,86.29847138965147,51.9710299235
18,20,152750,7637.5,1666268,83313.4,11,15,4.481016904277141,14.608704999999999,86.26147296423215,26.5607657968
19,20,153129,7656.45,1666004,83300.2,12,16,6.112223635028855,58.02830166666667,68.73093144095378,0.7553840463
20,20,153129,7656.45,1666084,83304.2,12,16,6.136249051834293,53.277465,68.67877509924783,0.2777421074
21,20,153083,7654.15,1666101,83305.05,12,16,5.979343765778477,49.49664666666667,70.27471774983142,0.3746271662
22,20,155537,7776.85,1550033,77501.65,12,17,26.10047339237609,274.3465933333334,45.93377957430709,5.7769e-06
23,20,154912,7745.6,1582452,79122.6,12,17,22.16577913856469,259.3703316666667,47.35544623148897,1.47779e-05
24,20,152992,7649.6,1554814,77740.7,12,21,5.268003227499913,186.92900666666668,74.83067699804072,1e-10
25,20,152992,7649.6,1612623,80631.15,12,20,5.350182063070836,124.68752166666667,76.14334002297629,1e-10
26,20,154997,7749.85,1560055,78002.75,12,17,22.661050196681224,272.16673333333335,46.06888822511665,6.7085e-06
27,20,153025,7651.25,1579215,78960.75,12,21,5.3183940688449605,124.46825,74.84746304833735,0.0
